cor,x1,x2,y
verde,3.745401188473625,3.7364081846669848,12.30060447765728
azul,9.50714306409916,3.3291209623140325,11.757695314234958
azul,7.319939418114051,1.7615391250286005,9.506989456356553
verde,5.986584841970366,6.07266670101488,19.769172200123297
vermelho,1.5601864044243652,4.766241605086289,7.215801339758797
azul,1.5599452033620265,8.657009923240036,5.7598991305969145
azul,0.5808361216819946,0.32109580482058253,-0.23363736084622833
azul,8.661761457749352,6.438679275551263,12.638855875733165
verde,6.011150117432088,7.629488785115611,21.40174026659902
azul,7.080725777960454,7.59486569188307,10.796421947870494
verde,0.20584494295802447,8.860739670955251,4.64362642013962
verde,9.699098521619943,7.290337428294941,31.9257263471424
verde,8.324426408004218,9.278100616476962,30.33632656465304
azul,2.1233911067827616,3.3265659982089146,3.5003727029930314
verde,1.8182496720710062,5.032094167515431,6.534144307791488
vermelho,1.8340450985343382,0.14079663282890675,4.289548637699062
azul,3.0424224295953772,0.06957587303291213,1.871628015088078
azul,5.247564316322379,2.401266204515199,5.29493724590472
azul,4.319450186421157,1.0080719713908526,6.0160923770939
azul,2.9122914019804194,2.602113679357536,3.0170083424489755
azul,6.118528947223795,1.770432945283974,4.687300562938291
verde,1.3949386065204183,0.2852002483864824,4.950277428715991
verde,2.9214464853521815,9.093041464060494,13.006996758605663
azul,3.663618432936917,0.08223131388891525,3.487078968743258
verde,4.56069984217036,7.360821443370854,17.048009854846306
azul,7.851759613930136,1.5214788691951653,8.844168987546444
verde,1.9967378215835974,9.122296219996,9.798642332845725
verde,5.142344384136116,8.927959395898858,21.36712772492354
verde,5.924145688620425,6.539011463692574,19.565712317398166
verde,0.46450412719997725,6.722341498006052,5.199558047280081
vermelho,6.075448519014383,0.053391419696885434,12.819713751753794
azul,1.7052412368729153,9.848715661136021,5.869947306607548
vermelho,0.6505159298527952,8.778326035758145,4.666460432306844
verde,9.488855372533333,8.95106225730092,33.95927146042062
vermelho,9.656320330745594,6.592445370508719,21.618002592728832
azul,8.08397348116461,3.447869286545365,9.201244183686727
azul,3.0461376917337066,8.936486490904809,8.401689899645858
verde,0.9767211400638387,2.9151692815119237,4.422489294486502
vermelho,6.842330265121569,5.627115433422029,14.701074579325049
vermelho,4.4015249373960135,0.997309723438824,11.048763881064954
vermelho,1.2203823484477883,9.219556301327502,6.520532088779362
azul,4.951769101112702,1.4077045777121333,5.252864100062351
azul,0.34388521115218396,2.2489680573040727,1.7241534921305857
vermelho,9.093204020787821,5.58134158128215,21.602155629220793
azul,2.587799816000169,7.640930002129815,8.369369108356544
azul,6.62522284353982,6.1935130593629895,8.061911223815619
vermelho,3.1171107608941098,2.3213391280015614,8.220843294714946
azul,5.200680211778108,0.009430425274903342,5.948405118465637
vermelho,5.4671027934327965,7.571505803074392,14.582793577528673
vermelho,1.8485445552552704,9.852073259110938,9.410399434882233
verde,9.695846277645586,8.099131203060905,34.07137845210376
vermelho,7.7513282336111455,4.602066181566153,16.421726773018364
azul,9.394989415641891,9.037672613991067,15.663592228518255
verde,8.948273504276488,4.0984767311835,27.335296625283075
vermelho,5.978999788110851,5.249340842434675,13.447353716200269
verde,9.218742350231167,4.771297673956832,29.780088214047822
azul,0.884925020519195,4.476238726655249,5.047984897033876
vermelho,1.959828624191452,7.751907692939057,7.487354465099046
azul,0.45227288910538066,5.26768907269492,3.05418353540203
verde,3.2533033076326436,3.1671712202521607,12.775574136928576
vermelho,3.8867728968948203,2.581581676584783,8.764018489516559
verde,2.713490317738959,0.37747316967433386,7.150770825123368
verde,8.287375091519294,5.83195161883046,27.360866248734798
vermelho,3.567533266935893,2.2996141540103423,9.655665444682734
verde,2.8093450968738076,1.481339220163831,9.239569897758475
azul,5.426960831582485,6.538299638276777,10.626768909777134
verde,1.4092422497476265,6.812092578215489,8.37170796461278
azul,8.021969807540398,7.52154892257666,11.137935332435244
azul,0.7455064367977082,5.035768963385915,3.314467222955744
verde,9.868869366005173,8.940546052038865,33.22366300589307
azul,7.722447692966574,9.363427533982279,11.735728429308942
vermelho,1.987156815341724,8.073709397924894,12.490252580671651
azul,0.05522117123602399,6.355934820081872,4.251813091310771
azul,8.154614284548341,3.0372095359118867,10.534317041510958
azul,7.068573438476172,9.829449216202212,11.360117731269215
vermelho,7.2900716804098735,2.7413616719193836,17.520408263060517
vermelho,7.712703466859457,2.0265692199043106,17.538107145464007
vermelho,0.7404465173409036,4.421541137865828,5.573284892972492
verde,3.5846572854427263,0.5684057071238846,12.871288858288569
vermelho,1.1586905952512971,9.784944646717907,5.730764225764026
azul,8.631034258755935,5.884335564164248,10.463362551568151
vermelho,6.232981268275579,5.5695209166417525,14.246935179408398
vermelho,3.308980248526492,6.557962798997199,8.953001253219146
azul,0.6355835028602363,4.970236477772066,3.4441541060066596
verde,3.109823217156622,0.3206351709454158,8.922983784846757
vermelho,3.2518332202674705,6.123112888403968,11.637821425499444
verde,7.29606178338064,7.161738769564306,27.373734617005713
verde,6.3755747135521315,4.1674906062405315,21.20400784969762
verde,8.872127425763265,7.57295572071193,32.35818635379555
azul,4.722149251619493,2.2700129933842064,7.345290375551798
verde,1.195942459383017,2.2127659106618403,4.243503774302712
verde,7.13244787222995,1.6141698768757395,20.195213211102157
azul,7.607850486168974,3.7199475978916183,9.249855900154055
verde,5.612771975694963,8.470120353890835,20.42875397295183
verde,7.70967179954561,8.279120621490643,27.47508133452798
azul,4.937955963643907,3.828242079635038,6.941305290336175
azul,5.227328293819941,5.891187359802366,8.235939632620353
vermelho,4.275410183585496,7.208163164749156,12.678586690924735
vermelho,0.2541912674409519,2.41206774628023,0.5018944609383402
vermelho,1.0789142699330445,1.6814108589474708,3.4098942469095324
verde,0.3142918568673425,9.72095993212311,5.3637393836465765
verde,6.364104112637804,6.175573132096185,22.38008110382519
verde,3.143559810763267,9.81415721833664,15.29516788669031
azul,5.085706911647028,3.377559871322291,5.550087074087144
verde,9.07566473926093,7.030316999741315,30.46085906498388
vermelho,2.4929222914887497,2.2260363654123774,5.980328531654823
azul,4.103829230356297,2.6120017127391293,4.89556111515522
azul,7.555511385430487,5.119021212696239,11.014851487911564
azul,2.2879816549162246,3.1961812550807123,3.1656839236561094
vermelho,0.7697990982879299,1.6762156384058446,1.8223056163364433
vermelho,2.8975145291376805,2.62880701989326,6.3995134352699266
vermelho,1.6122128725400442,0.3574839446586464,4.495223128848213
azul,9.29697652342573,7.044236214774866,12.326650518400946
azul,8.08120379564417,4.921166570858616,11.001832471957034
verde,6.334037565104235,0.9424306640452562,21.449033128565404
verde,8.714605901877178,1.716939931284912,26.927469250923405
vermelho,8.036720768991145,1.0253453811264401,17.698174908578668
azul,1.8657005888603584,6.125928082758765,6.600018714332869
verde,8.925589984899778,0.942103636124938,28.275013332802217
vermelho,5.393422419156507,7.542823330352161,14.541455187511353
vermelho,8.074401551640625,0.20510919320391174,16.893465458881817
verde,8.960912999234932,2.4937578799589213,26.84223934454891
vermelho,3.1800347497186388,8.906666758919071,10.03335972074686
